t,y1,y2
0,1.4,0
0.05,1.39977,-0.00915892
0.1,1.39909,-0.0181
0.15,1.39796,-0.0268369
0.2,1.39641,-0.0353829
0.25,1.39443,-0.0437512
0.3,1.39203,-0.0519543
0.35,1.38924,-0.0600045
0.4,1.38604,-0.0679138
0.45,1.38245,-0.0756934
0.5,1.37847,-0.0833543
0.55,1.37411,-0.0909072
0.6,1.36938,-0.0983619
0.65,1.36428,-0.105728
0.7,1.35881,-0.113015
0.75,1.35298,-0.120231
0.8,1.34679,-0.127383
0.85,1.34024,-0.134481
0.9,1.33334,-0.14153
0.95,1.32609,-0.148537
1,1.31849,-0.155507
1.05,1.31054,-0.162447
1.1,1.30224,-0.16936
1.15,1.2936,-0.176252
1.2,1.28462,-0.183125
1.25,1.27529,-0.189982
1.3,1.26562,-0.196827
1.35,1.25561,-0.20366
1.4,1.24525,-0.210483
1.45,1.23456,-0.217297
1.5,1.22352,-0.224102
1.55,1.21215,-0.230896
1.6,1.20043,-0.23768
1.65,1.18838,-0.244451
1.7,1.17599,-0.251207
1.75,1.16326,-0.257945
1.8,1.1502,-0.264661
1.85,1.1368,-0.271352
1.9,1.12306,-0.278013
1.95,1.10899,-0.28464
2,1.0946,-0.291225
2.05,1.07987,-0.297763
2.1,1.06482,-0.304248
2.15,1.04945,-0.310672
2.2,1.03376,-0.317028
2.25,1.01775,-0.323308
2.3,1.00143,-0.329503
2.35,0.984799,-0.335605
2.4,0.967868,-0.341604
2.45,0.95064,-0.347492
2.5,0.933121,-0.353259
2.55,0.915316,-0.358895
2.6,0.897234,-0.364389
2.65,0.87888,-0.369732
2.7,0.860263,-0.374915
2.75,0.841391,-0.379925
2.8,0.822273,-0.384754
2.85,0.802919,-0.389392
2.9,0.783338,-0.393828
2.95,0.76354,-0.398053
3,0.743536,-0.402057
3.05,0.723338,-0.405831
3.1,0.702957,-0.409366
3.15,0.682405,-0.412654
3.2,0.661696,-0.415687
3.25,0.640841,-0.418458
3.3,0.619854,-0.42096
3.35,0.59875,-0.423187
3.4,0.57754,-0.425132
3.45,0.556241,-0.426792
3.5,0.534866,-0.428163
3.55,0.51343,-0.42924
3.6,0.491947,-0.430022
3.65,0.470433,-0.430508
3.7,0.448901,-0.430695
3.75,0.427368,-0.430586
3.8,0.405848,-0.430179
3.85,0.384355,-0.429479
3.9,0.362905,-0.428487
3.95,0.341511,-0.427207
4,0.320189,-0.425645
4.05,0.298951,-0.423804
4.1,0.277813,-0.421693
4.15,0.256786,-0.419317
4.2,0.235885,-0.416685
4.25,0.215122,-0.413806
4.3,0.194508,-0.410689
4.35,0.174057,-0.407344
4.4,0.153778,-0.403781
4.45,0.133682,-0.400012
4.5,0.11378,-0.396049
4.55,0.0940802,-0.391904
4.6,0.0745922,-0.387589
4.65,0.0553239,-0.383117
4.7,0.0362829,-0.378501
4.75,0.017476,-0.373754
4.8,-0.00109055,-0.368891
4.85,-0.0194113,-0.363924
4.9,-0.0374815,-0.358867
4.95,-0.0552968,-0.353734
5,-0.0728539,-0.348538
5.05,-0.0901498,-0.343293
5.1,-0.107183,-0.33801
5.15,-0.12395,-0.332704
5.2,-0.140453,-0.327387
5.25,-0.156689,-0.32207
5.3,-0.17266,-0.316766
5.35,-0.188366,-0.311487
5.4,-0.203809,-0.306242
5.45,-0.218991,-0.301043
5.5,-0.233914,-0.295899
5.55,-0.248582,-0.29082
5.6,-0.262998,-0.285814
5.65,-0.277165,-0.28089
5.7,-0.291088,-0.276056
5.75,-0.304772,-0.271318
5.8,-0.318222,-0.266683
5.85,-0.331442,-0.262156
5.9,-0.344439,-0.257744
5.95,-0.357218,-0.25345
6,-0.369786,-0.249279
6.05,-0.382148,-0.245233
6.1,-0.394312,-0.241316
6.15,-0.406282,-0.23753
6.2,-0.418067,-0.233876
6.25,-0.429672,-0.230356
6.3,-0.441105,-0.226969
6.35,-0.452371,-0.223716
6.4,-0.463479,-0.220597
