t,theta
0,1.4
0.1,1.39507
0.2,1.3803
0.3,1.35571
0.4,1.32136
0.5,1.27732
0.6,1.22371
0.7,1.1607
0.8,1.08852
0.9,1.0075
1,0.918026
1.1,0.820621
1.2,0.71591
1.3,0.604647
1.4,0.487709
1.5,0.366094
1.6,0.240907
1.7,0.113339
1.8,-0.0153575
1.9,-0.143901
2,-0.271013
2.1,-0.395454
2.2,-0.51605
2.3,-0.631722
2.4,-0.741498
2.5,-0.844531
2.6,-0.940097
2.7,-1.0276
2.8,-1.10655
2.9,-1.17656
3,-1.23735
3.1,-1.28869
3.2,-1.33043
3.3,-1.36246
3.4,-1.38472
3.5,-1.39714
3.6,-1.39972
3.7,-1.39244
3.8,-1.37533
3.9,-1.34841
4,-1.31173
4.1,-1.2654
4.2,-1.20953
4.3,-1.14431
4.4,-1.07
4.5,-0.986917
4.6,-0.895504
4.7,-0.796295
4.8,-0.689949
4.9,-0.577249
5,-0.459101
5.1,-0.336531
5.2,-0.210665
5.3,-0.0827126
5.4,0.0460641
5.5,0.174381
5.6,0.300967
5.7,0.424595
5.8,0.544112
5.9,0.658461
6,0.766702
6.1,0.868016
6.2,0.961709
6.3,1.04721
6.4,1.12406
6.5,1.1919
6.6,1.25045
6.7,1.29952
6.8,1.33895
6.9,1.36866
7,1.38857
7.1,1.39865
7.2,1.39888
7.3,1.38926
7.4,1.3698
7.5,1.34055
7.6,1.30156
7.7,1.25294
7.8,1.19482
7.9,1.12741
8,1.05097
8.1,0.965862
8.2,0.872537
8.3,0.771563
8.4,0.663626
8.5,0.54954
8.6,0.430241
8.7,0.306779
8.8,0.180304
8.9,0.052039
9,-0.0767447
9.1,-0.204764
9.2,-0.330753
9.3,-0.453502
9.4,-0.571879
9.5,-0.684853
9.6,-0.791512
9.7,-0.891067
9.8,-0.982855
9.9,-1.06633
10,-1.14106
10.1,-1.20671
10.2,-1.26302
10.3,-1.3098
10.4,-1.34692
10.5,-1.3743
10.6,-1.39187
10.7,-1.3996
10.8,-1.39748
10.9,-1.38551
11,-1.36371
11.1,-1.33213
11.2,-1.29084
11.3,-1.23994
11.4,-1.17959
11.5,-1.10999
11.6,-1.03145
11.7,-0.94434
11.8,-0.849135
11.9,-0.746434
12,-0.636953
12.1,-0.521535
12.2,-0.401144
12.3,-0.276856
12.4,-0.149841
12.5,-0.0213357
12.6,0.107382
12.7,0.23503
12.8,0.360355
12.9,0.482161
13,0.599339
13.1,0.710885
13.2,0.815918
13.3,0.913677
13.4,1.00353
13.5,1.08496
13.6,1.15755
13.7,1.22099
13.8,1.27504
13.9,1.31953
14,1.35433
14.1,1.37938
14.2,1.3946
14.3,1.39999
14.4,1.39552
14.5,1.3812
14.6,1.35707
14.7,1.32317
14.8,1.27957
14.9,1.2264
15,1.16382
15.1,1.09207
15.2,1.01145
15.3,0.922357
15.4,0.825307
15.5,0.720919
15.6,0.609942
15.7,0.493246
15.8,0.371824
15.9,0.246777
16,0.119292
16.1,-0.00937995
16.2,-0.137959
16.3,-0.265165
16.4,-0.389756
16.5,-0.510556
16.6,-0.626478
16.7,-0.736547
16.8,-0.83991
16.9,-0.935837
17,-1.02372
17.1,-1.10308
17.2,-1.17351
17.3,-1.23473
17.4,-1.28652
17.5,-1.32871
17.6,-1.36119
17.7,-1.3839
17.8,-1.39678
17.9,-1.39982
18,-1.393
18.1,-1.37634
18.2,-1.34987
18.3,-1.31365
18.4,-1.26776
18.5,-1.21233
18.6,-1.14754
18.7,-1.07364
18.8,-0.990958
18.9,-0.899921
19,-0.80106
19.1,-0.695029
19.2,-0.582604
19.3,-0.464688
19.4,-0.342298
19.5,-0.216559
19.6,-0.0886762
19.7,0.0400905
19.8,0.168457
19.9,0.295151
20,0.418942
20.1,0.538674
20.2,0.653284
20.3,0.761828
20.4,0.863479
20.5,0.957539
20.6,1.04343
20.7,1.12069
20.8,1.18895
20.9,1.24794
21,1.29745
21.1,1.33734
21.2,1.3675
21.3,1.38786
21.4,1.3984
21.5,1.39909
21.6,1.38992
21.7,1.37092
21.8,1.34212
21.9,1.30358
22,1.2554
22.1,1.19772
22.2,1.13074
22.3,1.05471
22.4,0.969995
22.5,0.877039
22.6,0.776405
22.7,0.668775
22.8,0.554954
22.9,0.435875
23,0.312581
23.1,0.186219
23.2,0.0580095
23.3,-0.0707785
23.4,-0.198861
23.5,-0.324972
23.6,-0.447897
23.7,-0.5665
23.8,-0.679746
23.9,-0.786716
24,-0.886616
24.1,-0.978777
24.2,-1.06265
24.3,-1.13779
24.4,-1.20387
24.5,-1.26061
24.6,-1.30784
24.7,-1.34541
24.8,-1.37324
24.9,-1.39127
25,-1.39946
