t, theta
0, 1.4
0.1, 1.39515
0.2, 1.38094
0.3, 1.35785
0.4, 1.32635
0.5, 1.28692
0.6, 1.24006
0.7, 1.18626
0.8, 1.12605
0.9, 1.05997
1, 0.988621
1.1, 0.912608
1.2, 0.832593
1.3, 0.749274
1.4, 0.663382
1.5, 0.575681
1.6, 0.486955
1.7, 0.397997
1.8, 0.309603
1.9, 0.222552
2, 0.137597
2.1, 0.0554494
2.2, -0.0232318
2.3, -0.0978494
2.4, -0.167876
2.5, -0.23286
2.6, -0.292426
2.7, -0.346278
2.8, -0.394197
2.9, -0.436036
3, -0.471718
3.1, -0.501231
3.2, -0.524622
3.3, -0.54199
3.4, -0.553483
3.5, -0.559292
3.6, -0.559645
3.7, -0.554807
3.8, -0.545071
3.9, -0.530755
4, -0.512204
4.1, -0.489781
4.2, -0.463866
4.3, -0.434855
4.4, -0.403153
4.5, -0.369173
4.6, -0.333334
4.7, -0.296055
4.8, -0.25775
4.9, -0.218829
5, -0.179692
5.1, -0.140721
5.2, -0.102284
5.3, -0.0647263
5.4, -0.0283703
5.5, 0.00648902
5.6, 0.039585
5.7, 0.0706813
5.8, 0.0995727
5.9, 0.126086
6, 0.150081
6.1, 0.171449
6.2, 0.190112
6.3, 0.206023
6.4, 0.219164
6.5, 0.229545
6.6, 0.237203
6.7, 0.242196
6.8, 0.244609
6.9, 0.244544
7, 0.242122
7.1, 0.237482
7.2, 0.230775
7.3, 0.222166
7.4, 0.211829
7.5, 0.199948
7.6, 0.18671
7.7, 0.172308
7.8, 0.156938
7.9, 0.140795
8, 0.124071
8.1, 0.106956
8.2, 0.089636
8.3, 0.0722882
8.4, 0.0550825
8.5, 0.0381795
8.6, 0.0217288
8.7, 0.00586864
8.8, -0.00927519
8.9, -0.02359
9, -0.0369769
9.1, -0.0493506
9.2, -0.06064
9.3, -0.0707882
9.4, -0.0797521
9.5, -0.0875025
9.6, -0.0940231
9.7, -0.0993108
9.8, -0.103374
9.9, -0.106234
10, -0.107921
10.1, -0.108475
10.2, -0.107948
10.3, -0.106396
10.4, -0.103885
10.5, -0.100486
10.6, -0.0962745
10.7, -0.0913318
10.8, -0.0857414
10.9, -0.079589
11, -0.0729618
11.1, -0.0659473
11.2, -0.0586327
11.3, -0.0511037
11.4, -0.0434441
11.5, -0.0357348
11.6, -0.0280532
11.7, -0.020473
11.8, -0.0130629
11.9, -0.00588687
12, 0.000996533
12.1, 0.00753452
12.2, 0.0136802
12.3, 0.0193929
12.4, 0.0246379
12.5, 0.029387
12.6, 0.0336182
12.7, 0.0373154
12.8, 0.0404688
12.9, 0.043074
13, 0.0451325
13.1, 0.0466509
13.2, 0.0476408
13.3, 0.0481182
13.4, 0.0481036
13.5, 0.047621
13.6, 0.0466981
13.7, 0.0453652
13.8, 0.0436554
13.9, 0.0416036
14, 0.0392465
14.1, 0.036622
14.2, 0.0337686
14.3, 0.0307253
14.4, 0.0275311
14.5, 0.0242244
14.6, 0.0208429
14.7, 0.0174231
14.8, 0.0140004
14.9, 0.0106082
15, 0.00727795
15.1, 0.00403924
15.2, 0.000919114
15.3, -0.0020578
15.4, -0.00486947
15.5, -0.00749656
15.6, -0.00992247
15.7, -0.0121334
15.8, -0.0141182
15.9, -0.0158686
16, -0.017379
16.1, -0.0186464
16.2, -0.0196702
16.3, -0.0204524
16.4, -0.0209972
16.5, -0.0213108
16.6, -0.0214014
16.7, -0.021279
16.8, -0.0209552
16.9, -0.020443
17, -0.0197565
17.1, -0.018911
17.2, -0.0179225
17.3, -0.0168074
17.4, -0.015583
17.5, -0.0142664
17.6, -0.012875
17.7, -0.011426
17.8, -0.00993629
17.9, -0.00842239
18, -0.00690025
18.1, -0.00538509
18.2, -0.00389135
18.3, -0.00243253
18.4, -0.00102115
18.5, 0.000331353
18.6, 0.00161466
18.7, 0.00281964
18.8, 0.00393838
18.9, 0.00496417
19, 0.00589155
19.1, 0.00671629
19.2, 0.00743534
19.3, 0.00804687
19.4, 0.00855014
19.5, 0.00894554
19.6, 0.00923448
19.7, 0.00941933
19.8, 0.00950336
19.9, 0.00949067
20, 0.00938611
20.1, 0.00919518
20.2, 0.00892394
20.3, 0.00857896
20.4, 0.00816719
20.5, 0.00769591
20.6, 0.00717261
20.7, 0.00660493
20.8, 0.00600056
20.9, 0.00536719
21, 0.0047124
21.1, 0.00404362
21.2, 0.00336804
21.3, 0.00269259
21.4, 0.00202384
21.5, 0.00136798
21.6, 0.000730771
21.7, 0.00011752
21.8, -0.000466969
21.9, -0.0010184
22, -0.00153301
22.1, -0.00200759
22.2, -0.00243945
22.3, -0.00282648
22.4, -0.00316708
22.5, -0.00346021
22.6, -0.00370531
22.7, -0.00390236
22.8, -0.00405175
22.9, -0.00415438
23, -0.00421151
23.1, -0.00422481
23.2, -0.00419629
23.3, -0.00412826
23.4, -0.00402331
23.5, -0.00388428
23.6, -0.00371416
23.7, -0.00351615
23.8, -0.00329352
23.9, -0.00304966
24, -0.00278796
24.1, -0.00251186
24.2, -0.00222474
24.3, -0.00192994
24.4, -0.00163071
24.5, -0.00133018
24.6, -0.00103135
24.7, -0.000737036
24.8, -0.000449893
24.9, -0.000172371
25, 9.32972e-05
